subject_id,filename,source_url,local_path,size_bytes,download_status,validation_status,downloaded_at,error_message
s26,s26.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s26.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s26.mat,203011452,ok,ok,2026-06-15T17:03:49.081545+00:00,
s27,s27.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s27.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s27.mat,204789998,ok,ok,2026-06-15T17:04:04.605535+00:00,
s28,s28.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s28.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s28.mat,205554539,ok,ok,2026-06-15T17:04:23.109572+00:00,
s29,s29.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s29.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s29.mat,202928099,ok,ok,2026-06-15T17:04:39.941124+00:00,
s30,s30.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s30.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s30.mat,204129671,ok,ok,2026-06-15T17:04:55.493252+00:00,
s31,s31.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s31.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s31.mat,207323724,ok,ok,2026-06-15T17:05:15.204954+00:00,
s32,s32.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s32.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s32.mat,206235816,ok,ok,2026-06-15T17:05:33.727248+00:00,
s33,s33.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s33.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s33.mat,205696384,ok,ok,2026-06-15T17:05:51.015510+00:00,
s34,s34.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s34.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s34.mat,203249088,ok,ok,2026-06-15T17:06:09.648306+00:00,
s35,s35.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s35.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s35.mat,201382139,ok,ok,2026-06-15T17:06:26.850169+00:00,
s36,s36.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s36.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s36.mat,202238390,ok,ok,2026-06-15T17:06:47.249262+00:00,
s37,s37.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s37.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s37.mat,205542398,ok,ok,2026-06-15T17:07:06.241656+00:00,
s38,s38.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s38.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s38.mat,204908512,ok,ok,2026-06-15T17:07:22.267461+00:00,
s39,s39.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s39.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s39.mat,206867819,ok,ok,2026-06-15T17:07:38.415092+00:00,
s40,s40.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s40.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s40.mat,200137624,ok,ok,2026-06-15T17:07:59.234391+00:00,
s41,s41.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s41.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s41.mat,203184362,ok,ok,2026-06-15T17:08:15.616529+00:00,
s42,s42.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s42.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s42.mat,201632098,ok,ok,2026-06-15T17:08:32.425999+00:00,
s43,s43.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s43.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s43.mat,205312190,ok,ok,2026-06-15T17:08:53.944505+00:00,
s44,s44.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s44.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s44.mat,208780878,ok,ok,2026-06-15T17:09:11.264120+00:00,
s45,s45.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s45.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s45.mat,208130079,ok,ok,2026-06-15T17:09:36.166931+00:00,
s46,s46.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s46.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s46.mat,237147858,ok,ok,2026-06-15T17:10:01.793245+00:00,
s47,s47.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s47.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s47.mat,201698159,ok,ok,2026-06-15T17:10:21.775295+00:00,
s48,s48.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s48.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s48.mat,205771783,ok,ok,2026-06-15T17:10:37.215897+00:00,
s49,s49.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s49.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s49.mat,203273886,ok,ok,2026-06-15T17:10:55.257457+00:00,
s50,s50.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s50.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s50.mat,205228049,ok,ok,2026-06-15T17:11:10.832427+00:00,
s51,s51.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s51.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s51.mat,199549446,ok,ok,2026-06-15T17:11:26.667658+00:00,
s52,s52.mat,https://s3.ap-northeast-1.wasabisys.com/gigadb-datasets/live/pub/10.5524/100001_101000/100295/mat_data/s52.mat,C:\Users\YIGIT-BASARAN\Downloads\bci\data\raw\cho2017\s52.mat,206541841,ok,ok,2026-06-15T17:11:44.789420+00:00,
